id,date,time,condition,npi_total,sex,age,npi_1,npi_2,filler_1,npi_3,npi_4,npi_5,filler_2,npi_6,npi_7,npi_8,filler_3,npi_9,npi_10,npi_11,npi_12,npi_13,filler_4,npi_14,npi_15,npi_16,filler_5,npi_17,npi_18,filler_6,npi_19,npi_20,npi_21,filler_7,npi_22,npi_23,npi_24,filler_8,npi_25,npi_26,npi_27,filler_9,npi_28,npi_29,npi_30,filler_10,npi_31,npi_32,npi_33,filler_11,npi_34,npi_35,npi_36,filler_12,npi_37,npi_38,npi_39,filler_13,npi_40,certain_of_guess
60,12/7/2016,15:29:38,2,13,1,19,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1
61,12/7/2016,16:03:54,2,10,1,18,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2
62,12/7/2016,17:06:11,1,21,1,20,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,3
63,12/7/2016,16:31:34,3,15,1,18,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,5
64,12/7/2016,17:35:38,2,14,0,19,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2
65,12/7/2016,17:57:33,1,11,1,18,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2
66,12/7/2016,18:30:36,3,8,1,18,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,4
67,12/8/2016,12:17:52,1,15,0,19,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,5
68,12/8/2016,12:36:26,3,11,1,18,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,3
69,12/8/2016,13:09:44,2,27,1,20,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,3
