,congress,chamber,bioguide,last_name,state_x,district,party,votes,agree_pct,predicted_agree,net_trump_vote,Unnamed: 0,state_y,name,twitter_handle
437,116,house,R000597,Rice,SC,7.0,R,87.0,0.9425287356321842,0.85317066,18.9,449,SC-07,Tom Rice,@RepTomRice
438,116,house,R000602,Rice,NY,4.0,D,87.0,0.0574712643678161,0.11864104,-9.6,374,NY-04,Kathleen Rice,@RepKathleenRice
439,116,house,R000602,Rice,NY,4.0,D,87.0,0.0574712643678161,0.11864104,-9.6,449,SC-07,Tom Rice,@RepTomRice
440,116,house,R000599,Ruiz,CA,36.0,D,89.0,0.0674157303370786,0.12168738,-8.8,156,CA-36,Raul Ruiz,@CongressmanRuiz
441,116,house,R000601,Ratcliffe,TX,4.0,R,66.0,0.954545454545455,0.97524693,53.6,463,TX-04,John Ratcliffe,@RepRatcliffe
442,116,house,R000603,Rouzer,NC,7.0,R,89.0,0.910112359550562,0.83510271,17.7,340,NC-07,David Rouzer,@RepDavidRouzer
443,116,house,R000606,Raskin,MD,8.0,D,89.0,0.0786516853932584,0.06975034,-34.4,289,MD-08,Jamie Raskin,@RepRaskin
444,116,house,R000607,Rooney,FL,19.0,R,58.0,0.7586206896551719,0.89256024,22.1,206,FL-19,Francis Rooney,@RepRooney
445,116,house,R000609,Rutherford,FL,4.0,R,86.0,0.9418604651162791,0.91519782,28.0,191,FL-04,John Rutherford,@RepRutherfordFL
446,116,house,R000610,Reschenthaler,PA,14.0,R,86.0,0.9302325581395351,0.92567165,29.0,436,PA-14,Guy Reschenthaler,@GReschenthaler
447,116,house,R000611,Riggleman,VA,5.0,R,86.0,0.918604651162791,0.67206945,11.1,504,VA-05,Denver Riggleman,@RepRiggleman
448,116,house,R000612,Rose,TN,6.0,R,85.0,0.941176470588235,0.93288944,48.9,381,NY-11,Max Rose,@RepMaxRose
449,116,house,R000612,Rose,TN,6.0,R,85.0,0.941176470588235,0.93288944,48.9,456,TN-06,John Rose,@RepJohnRose
450,116,house,R000613,Rose,NY,11.0,D,88.0,0.0909090909090909,0.62332203,9.8,381,NY-11,Max Rose,@RepMaxRose
451,116,house,R000613,Rose,NY,11.0,D,88.0,0.0909090909090909,0.62332203,9.8,456,TN-06,John Rose,@RepJohnRose
452,116,house,R000614,Roy,TX,21.0,R,83.0,0.91566265060241,0.6448025,10.0,480,TX-21,Chip Roy,@RepChipRoy
453,116,house,R000616,Rouda,CA,48.0,D,88.0,0.0681818181818182,0.21856863,-1.7,168,CA-48,Harley Rouda,@RepHarley
454,116,house,S000185,Scott,VA,3.0,D,89.0,0.0674157303370786,0.0713152,-31.7,17,FL ,Rick Scott,@SenRickScott
455,116,house,S000185,Scott,VA,3.0,D,89.0,0.0674157303370786,0.0713152,-31.7,79,SC ,Tim Scott,@SenatorTimScott
456,116,house,S000185,Scott,VA,3.0,D,89.0,0.0674157303370786,0.0713152,-31.7,222,GA-08,Austin Scott,@AustinScottGA08
457,116,house,S000185,Scott,VA,3.0,D,89.0,0.0674157303370786,0.0713152,-31.7,227,GA-13,David Scott,@repdavidscott
458,116,house,S000185,Scott,VA,3.0,D,89.0,0.0674157303370786,0.0713152,-31.7,502,VA-03,"Robert ""Bobby"" Scott",@BobbyScott
459,116,house,S001157,Scott,GA,13.0,D,87.0,0.0574712643678161,0.06687373,-44.4,17,FL ,Rick Scott,@SenRickScott
460,116,house,S001157,Scott,GA,13.0,D,87.0,0.0574712643678161,0.06687373,-44.4,79,SC ,Tim Scott,@SenatorTimScott
461,116,house,S001157,Scott,GA,13.0,D,87.0,0.0574712643678161,0.06687373,-44.4,222,GA-08,Austin Scott,@AustinScottGA08
462,116,house,S001157,Scott,GA,13.0,D,87.0,0.0574712643678161,0.06687373,-44.4,227,GA-13,David Scott,@repdavidscott
463,116,house,S001157,Scott,GA,13.0,D,87.0,0.0574712643678161,0.06687373,-44.4,502,VA-03,"Robert ""Bobby"" Scott",@BobbyScott
464,116,house,S001189,Scott,GA,8.0,R,84.0,0.9047619047619051,0.92227564,28.9,17,FL ,Rick Scott,@SenRickScott
465,116,house,S001189,Scott,GA,8.0,R,84.0,0.9047619047619051,0.92227564,28.9,79,SC ,Tim Scott,@SenatorTimScott
466,116,house,S001189,Scott,GA,8.0,R,84.0,0.9047619047619051,0.92227564,28.9,222,GA-08,Austin Scott,@AustinScottGA08
467,116,house,S001189,Scott,GA,8.0,R,84.0,0.9047619047619051,0.92227564,28.9,227,GA-13,David Scott,@repdavidscott
468,116,house,S001189,Scott,GA,8.0,R,84.0,0.9047619047619051,0.92227564,28.9,502,VA-03,"Robert ""Bobby"" Scott",@BobbyScott
469,116,senate,S001184,Scott,SC,,R,41.0,0.8292682926829269,0.66632554,14.265912900000002,17,FL ,Rick Scott,@SenRickScott
470,116,senate,S001184,Scott,SC,,R,41.0,0.8292682926829269,0.66632554,14.265912900000002,79,SC ,Tim Scott,@SenatorTimScott
471,116,senate,S001184,Scott,SC,,R,41.0,0.8292682926829269,0.66632554,14.265912900000002,222,GA-08,Austin Scott,@AustinScottGA08
472,116,senate,S001184,Scott,SC,,R,41.0,0.8292682926829269,0.66632554,14.265912900000002,227,GA-13,David Scott,@repdavidscott
