id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
108,11/21/2017,14:59:46,4,2,2,2,18,48187,6,5,2,3,3,3,2,6,4,4,4,4,4,3,2,1,3,1,1,77655,99,99,99,99,99,0,1,77655,3,23,0.639266033
109,11/21/2017,15:35:40,2,1,2,2,21,48879,7,7,2,7,5,4,4,6,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,2,105930,3,105930,5,30,0.728706687
110,11/21/2017,15:55:49,1,1,1,1,21,48178,8,8,1,5,3,2,1,10,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,60725,3,60725,4,18,1.435958536
111,11/21/2017,17:11:32,3,2,1,2,20,48708,3,3,1,5,2,1,1,10,2,2,2,2,3,3,2,1,3,3,2,108798,99,99,99,99,99,0,5,108798,5,14,0.8115859
112,11/21/2017,17:33:38,4,2,2,2,18,48017,3,3,1,6,1,1,1,10,3,3,3,3,3,3,2,1,3,3,2,68946,99,99,99,99,99,0,4,68946,5,18,0.634230849
113,11/21/2017,17:52:48,4,2,2,2,18,48706,3,3,2,5,3,4,2,6,4,3,3,3,3,3,2,1,3,3,2,72213,99,99,99,99,99,0,5,72213,5,19,0.039278671
114,11/21/2017,18:16:44,2,1,2,2,19,49036,4,6,2,2,1,1,1,6,3,3,3,1,3,3,99,99,99,99,99,0,2,2,1,1,1,67625,4,67625,4,16,0.66041924
115,11/21/2017,18:59:38,3,2,1,2,18,49651,11,8,2,5,4,1,2,5,4,4,4,4,4,4,2,1,1,3,1,130447,99,99,99,99,99,0,2,130447,3,24,1.307561224
116,11/21/2017,19:13:23,1,1,1,2,18,48154,6,8,2,6,4,3,2,6,4,4,4,3,4,4,99,99,99,99,99,0,2,2,1,1,1,99217,1,99217,4,23,1.065213129
117,11/21/2017,19:47:13,3,2,1,2,21,48876,4,5,2,5,4,4,6,5,4,4,3,2,4,4,2,1,3,1,2,42837,99,99,99,99,99,0,4,42837,4,21,0.895336783
118,11/22/2017,9:17:52,1,1,1,1,20,48917,1,3,2,6,3,1,1,5,5,5,4,3,5,5,99,99,99,99,99,0,2,2,1,1,1,62774,3,62774,4,27,0.830901745
119,11/22/2017,9:35:04,4,2,2,2,18,48615,9,9,2,6,4,4,3,5,5,4,5,4,4,3,2,1,3,3,1,108849,99,99,99,99,99,0,4,108849,4,25,0.375618249
120,11/22/2017,9:48:43,2,1,2,2,19,49854,5,6,2,4,2,1,1,5,3,3,3,3,3,4,99,99,99,99,99,0,2,2,1,1,1,50169,3,50169,4,19,0.337177483
121,11/22/2017,10:08:20,4,2,2,2,18,48603,8,9,2,2,1,2,2,1,3,3,2,4,4,4,2,1,3,3,1,69984,99,99,99,99,99,0,4,69984,4,20,-0.204563637
122,11/22/2017,12:11:33,3,2,1,2,21,48917,2,1,2,4,2,2,2,5,4,3,3,4,3,4,2,1,3,3,1,71402,99,99,99,99,99,0,1,71402,4,21,0.103194642
123,11/22/2017,12:28:34,2,1,2,1,18,60628,7,4,2,6,4,2,6,5,3,3,5,3,3,3,99,99,99,99,99,0,2,2,1,1,2,62010,3,62010,5,20,0.286223563
124,11/22/2017,12:54:30,1,1,1,2,19,48224,5,4,2,7,6,5,4,5,4,3,5,3,4,3,99,99,99,99,99,0,2,2,1,1,1,58902,4,58902,4,22,1.236132477
125,11/22/2017,13:10:37,2,1,2,2,20,48629,4,5,2,4,3,3,2,5,4,3,4,3,4,4,99,99,99,99,99,0,2,2,1,1,2,122392,3,122392,5,22,0.703978568
